Author,Title,ID
,"Confessions of a Teenage Drama Queen (Confessions of a Teenage Drama Queen, #1)",46260
,The Complete Fairy Tales,46306
,"Chocolat (Chocolat, #1)",47401
,Revolutionary Road,48328
,The Diary of a Young Girl,48855
,Brighton Rock,48862
,"New Moon (Twilight, #2)",49041
,The Stepford Wives,52350
,"Around the World in Eighty Days (Extraordinary Voyages, #11)",54479
,"The Man in the Iron Mask (The D'Artagnan Romances, #3.4)",54499
,"Empire of the Sun (Empire of the Sun, #1)",56674
,"L.A. Confidential (L.A. Quartet, #3)",57727
,The Swiss Family Robinson,62111
,The Prince and the Pauper,62446
,Dead Poets Society,67238
,Emil and the Detectives,67270
,"Girl, Interrupted",68783
,"They Do It with Mirrors (Miss Marple, #6)",68930
,"The Power of Full Engagement: Managing Energy, Not Time, Is the Key to High Performance and Personal Renewal",68985
,"2001: A Space Odyssey (Space Odyssey, #1)",70535
,Never Cry Wolf,72659
,Tulip Fever,72872
,"Watership Down (Watership Down, #1)",76620
,The Complete Tales of Uncle Remus,77152
,The Kite Runner,77203
,The Jungle Book,77270
,"Anne of Avonlea (Anne of Green Gables, #2)",77390
,"The Bad Beginning (A Series of Unfortunate Events, #1)",78411
,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",79885
,The Bridges of Madison County,83674
,Tuck Everlasting,84981
,The Merry Adventures of Robin Hood,93007
,The Legend of Sleepy Hollow (Graphic Novel),93263
,Night of the Living Dead,93568
,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",99107
,The Painted Veil,99664
,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",100915
,"The Forsyte Saga (The Forsyte Chronicles, #1-3)",103159
,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",104189
,Freaky Friday,104711
,"Meg (MEG, #1)",105744
,"Batman: Gotham by Gaslight (Victorian Batman, #1-2)",107159
,"Eragon (The Inheritance Cycle, #1)",113436
,How the Grinch Stole Christmas!,113946
,Snow-White and the Seven Dwarfs: A Tale from the Brothers Grimm,117938
,"The Golden Compass (His Dark Materials, #1)",119322
,"Prince Caspian (Chronicles of Narnia, #2)",121749
,"Big Red (Big Red, #1)",123170
,Jaws,126232
,Big Fish,129984
,Old Yeller,130580
,"Old Yeller (Old Yeller, #1)",130580
,"Death on the Nile (Hercule Poirot, #17)",131359
,The Little Mermaid,132391
,Apollo 13,132534
,Trainspotting,135836
,The Other Side of Midnight (Midnight #1),136167
,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",136251
,Divine Secrets of the Ya-Ya Sisterhood,137791
,Catch Me If You Can: The True Story of a Real Fake,138269
,Stuart Little,138959
,Maniac Magee,139463
,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",140225
,Snow White and the Seven Dwarfs,141019
,Where Eagles Dare ,148337
,The Stand,149267
,"Mary Poppins (Mary Poppins, #1)",152380
,"Moby-Dick or, The Whale",153747
,"The Talented Mr. Ripley (Ripley, #1)",156024
,Psycho (Psycho #1),156427
,A Connecticut Yankee in King Arthur's Court,162898
,"My Friend Flicka (Flicka, #1)",164542
,"Savage Sam (Old Yeller, #2)",167110
,The Exorcist,179780
,Pinocchio,180617
,The Surrogates,181182
,"Forrest Gump (Forrest Gump, #1)",186190
,Avalon High,187812
,"How My Private, Personal Journal Became a Bestseller",202216
,First Man: The Life of Neil A. Armstrong,205589
,"The Adventures of Captain Underpants (Captain Underpants, #1)",207266
,Cinderella,209631
,Pay It Forward,215631
,"One Shot (Jack Reacher, #9)",220968
,Uncle Remus: His Songs and His Sayings,223633
,Dracula (Marvel Illustrated),224410
,"The Collected Stories of Philip K. Dick, Volume 4: Minority Report",226470
,"Bridget Jones's Diary (Bridget Jones, #1)",227443
,A Clockwork Orange,227463
,"The Nanny Diaries (Nanny, #1)",228333
,The Outsiders,231804
,The Incredible Journey,231821
,The Cat in the Hat,233093
,"Dune (Dune Chronicles, #1)",234225
,"The Wonderful Wizard of Oz (Oz, #1)",236093
,The Prestige,239239
,Just Me and My Dad (Little Critter),239388
,Running with Scissors,242006
,Something Wicked This Way Comes,248596
,"Something Wicked This Way Comes (Green Town, #2)",248596
,The Devil's Advocate,248760
,Breakfast at Tiffany's,251688
,"City of Bones (The Mortal Instruments, #1)",256683
,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",259836
,"Essential Howard the Duck, Vol. 1",262070
,"In Search of the Castaways; or the Children of Captain Grant (Extraordinary Voyages, #5)",267071
,Seven Years in Tibet,270032
,"The Black Stallion (The Black Stallion, #1)",272895
,Ellen Foster,277397
,"Bunnicula (Bunnicula, #1)",281235
,High Fidelity,285092
,"Be Cool (Chili Palmer, #2)",288973
,Ophelia,293583
,"The Eagle Has Landed (Liam Devlin, #1)",295961
,"The League of Extraordinary Gentlemen, Vol. 1",297627
,"The City of Ember (Book of Ember, #1)",307791
,"The Sword in the Stone (The Once and Future King, #1)",316845
,"Kidnapped (David Balfour, #1)",325128
,One Flew Over the Cuckoo's Nest,332613
,Banner in the Sky,333766
,Thomasina,338674
,"The Borrowers (The Borrowers, #1)",348573
,"How to Train Your Dragon (How to Train Your Dragon, #1)",352262
,Because of Winn-Dixie,357664
,Night Watch (Watch #1),359375
,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",363752
,P.S. I Love You,366522
,Schindler's List,375013
,The Manchurian Candidate (Movie Tie-In Edition),376514
,Flight of the Intruder (Jake Grafton #1),377425
,Legally Blonde,386142
,Legends of the Fall,395397
,"The Mists of Avalon (Avalon, #1)",402045
,Planet of the Apes,414895
,The Little White Horse,420180
,The Polar Express,420282
,The Invisible Wall: A Love Story That Broke Barriers,428223
,"Eclipse (Twilight, #3)",428263
,Speak,439288
,Arthurian Romances,449589
,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",452306
,Sphere,455373
,Escape to Witch Mountain,458191
,"All the Pretty Horses (The Border Trilogy, #1)",469571
,Watchmen,472331
,Bedknob and Broomstick,474211
,The Horse Whisperer,479415
,The Phantom of the Opera,480204
,Under the Tuscan Sun,480479
,"The Rescuers (The Rescuers, #1)",494304
,"Nappily Ever After (Nappily, #1)",495348
,"The 101 Dalmatians (The Hundred and One Dalmatians, #1)",511614
,Jumanji,525995
,"After the Funeral (Hercule Poirot, #29)",527744
,"Dances with Wolves (Dances with Wolves, #1)",543339
,I Am Legend and Other Stories,547094
,A Day with Wilbur Robinson,566625
,The Minority Report,581125
,By the Great Horn Spoon!,596246
,"Cable & Deadpool, Volume 1: If Looks Could Kill",598944
,The Beach,607639
,Babe: The Gallant Pig,646195
,Children of the Covered Wagon,651192
,The Positronic Man (Robot #0.6),651964
,"The Killer Angels (The Civil War Trilogy, #2)",682804
,"Get Shorty (Chili Palmer, #1)",702539
,Penelope,713798
,Bambi,739840
,The Curious Case of Benjamin Button,747746
,"Gorky Park (Arkady Renko, #1)",762806
,"Who Censored Roger Rabbit? (Roger Rabbit, #1)",765430
,The War with Grandpa,766671
,The Light in the Forest,769000
,Battlefield Earth: A Saga of the Year 3000,769658
,The Cross and the Switchblade,772852
,Nutcracker,774449
,Stranger with My Face,789830
,"War Horse (War Horse, #1)",792161
,Rapunzel,815158
,On Chesil Beach,815309
,"The Castle in the Attic (The Castle in the Attic, #1)",816752
,Johnny Tremain,816870
,Sheep in a Jeep,820273
,"The Breadwinner (The Breadwinner, #1)",828015
,Half-Moon Investigations,831893
,Shrek!,843550
,Battle Angel Alita,844422
,The Ugly Dachshund,866188
,"The Blessing Way (Leaphorn & Chee, #1)",867387
,Das doppelte Lottchen,887010
,"""I Heard You Paint Houses"": Frank ""The Irishman"" Sheeran & Closing the Case on Jimmy Hoffa",934378
,The Brave Little Toaster,938625
,The Eagle of the Ninth,956168
,"Pollyanna (Pollyanna, #1)",1000751
,"Basil of Baker Street (Basil of Baker Street, #1)",1005680
,"K-Pax (K-Pax, #1)",1006596
,The Septembers of Shiraz,1038088
,"The Innocent Mage (Kingmaker, Kingbreaker, #1)",1051620
,"Toby Tyler, or Ten Weeks with a Circus",1104029
,"Miss Bianca (The Rescuers, #2)",1112570
,Amazing Adventures from Zoom's Academy,1158162
,"Breaking Dawn (Twilight, #4)",1162543
,Anthem of a Reluctant Prophet,1204479
,Madame Doubtfire,1230853
,Blackbeard's Ghost,1267126
,That Darn Cat (Undercover Cat#1),1280465
,The Fox and The Hound,1322303
,"Hurry Home, Candy",1377515
,The Three Christs of Ypsilanti: A Psychological Study,1401403
,"The Host (The Host, #1)",1656001
,Davy Crockett: His Own Story,1762380
,"The Knife of Never Letting Go (Chaos Walking, #1)",2118745
