Title,Film
"Black Beauty (1877), Anna Sewell",Black Beauty (1921)Black Beauty (1933)Black Beauty (1946)Courage of Black Beauty (1958)Black Beauty (1971)Black Beauty (1978) (TV)Black Beauty (1994)Black Beauty (1995) (V)
"The Black Camel (1929), Earl Derr Biggers",The Black Camel (1931)
"The Black Curtain (1941), Cornell Woolrich",Street of Chance (1942)
"The Black Dahlia (1987), James Ellroy",The Black Dahlia (2006)
"Black Narcissus (1939), Rumer Godden",Black Narcissus (1947)
"The Black Path of Fear (1944), Cornell Woolrich",The Chase (1946)
"The Black Rose (1945), Thomas B. Costain",The Black Rose (1950)
"The Black Stallion (1941–1989) (series), Walter FarleyThe Black Stallion (1941)* The Black Stallion Returns (1945)** The Young Black Stallion (1989)",The Black Stallion (1979–2003) (series)The Black Stallion (1979)* The Black Stallion Returns (1983)** The Young Black Stallion (2003)
"Black Sunday (1971), Thomas Harris",Black Sunday (1977)
"The Blackboard Jungle (1954), Evan Hunter",Blackboard Jungle (1955)
"Blackbeard's Ghost (1965), Ben Stahl",Blackbeard's Ghost (1968)
"The Blank Wall (1947), Elisabeth Sanxay Holding",The Reckless Moment (1949)The Deep End (2001)
"Blaze of Noon (1946), Ernest K. Gann",Blaze of Noon (1947)
"Le Blé en herbe (1923), Colette",Le Blé en herbe (1954)Le Blé en herbe (1990)
"Bleak House (1852–1853) (serial), (1853) (novel), Charles Dickens",Bleak House (1920)Bleak House (1922)Bleak House (1927) (short film)Bleak House (1959) (TV) (serial)Bleak House (1985) (TV) (serial)Bleak House (2005) (TV) (serial)
"Bless the Beasts and Children (1970), Glendon Swarthout",Bless the Beasts & Children (1971)
"Bless the Child (1993), Cathy Cash Spellman",Bless the Child (2000)
"The Blessing (1951), Nancy Mitford",Count Your Blessings (1959)
"Blood and Chocolate (1997), Annette Curtis Klause",Blood & Chocolate (2007)
"Blood Brother (1947), Elliott Arnold",Broken Arrow (1950)
"Blood on the Moon (1941) (a.k.a. Gunman's Chance), Luke Short",Blood on the Moon (1948)
"Blood on the Moon (1984), James Ellroy",Cop (1988)
"The Blood Oranges (1970), John Hawkes",The Blood Oranges (1997)
"Blood Work (1998), Michael Connelly",Blood Work (2002)
"Blue Fin (1969), Colin Thiele",Blue Fin (1978)
"The Blue Lagoon (1908), Henry De Vere Stacpoole",The Blue Lagoon (1923)The Blue Lagoon (1949)The Blue Lagoon (1980)
"Blueprint (Blaupause) (1999), Charlotte Kerner",Blueprint (2003)
"The Body (1983), Richard Sapir",The Body (2001)
"The Body Snatchers (1955), Jack Finney",Invasion of the Body Snatchers (1956)Invasion of the Body Snatchers (1978)* Body Snatchers (1993)** The Invasion (2007)Invasion of the Pod People (2007)
"Bombaiyer Bombete (1976), Satyajit Ray",Bombaiyer Bombete (2003)
"The Bonfire of the Vanities (1987), Tom Wolfe",The Bonfire of the Vanities (1990)
"Bonjour Tristesse (Hello Sadness) (1954), Françoise Sagan",Bonjour Tristesse (1958)
"Boogiepop and Others (1998), Kouhei Kadono",Boogiepop and Others (2000)
"The Book of Daniel (1971), E. L. Doctorow",Daniel (1983)
"Das Boot (The Boat) (1973), Lothar-Günther Buchheim",Das Boot (The Boat) (1981)
"The Border Jumpers (1955), Will C. Brown",Man of the West (1958)
"The Border Legion (1916), Zane Grey",The Border Legion (1924)The Last Round-Up (1934)
"Border Town (1934), Carroll Graham",Bordertown (1935)
