Author,Title,ID
,"Stormbreaker (Alex Rider, #1)",136782
,"The Sum of All Fears (Jack Ryan Universe, #7)",34993
,Smilla's Sense of Snow,124509
,Q & A,288644
,Animal Farm,7613
,The Tommyknockers,17660
,Cannery Row,4799
,Do Androids Dream of Electric Sheep?,7082
,"The Last Unicorn (The Last Unicorn, #1)",29127
,Like Water for Chocolate,6952
,The Accidental Tourist,60792
,"Neverwhere (London Below, #1)",14497
,About a Boy,4271
,"The Sword in the Stone (The Once and Future King, #1)",316845
,"The Black Cauldron (The Chronicles of Prydain, #2)",24784
,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",402013
,"The Black Dahlia (L.A. Quartet, #1)",21704
,Denali Skies,17413424
,Battle Royale,57891
,"Anne of Green Gables (Anne of Green Gables, #1)",8127
,Catch Me If You Can: The True Story of a Real Fake,138269
,The Odyssey,1381
,"Mary Poppins (Mary Poppins, #1)",152380
,Black Beauty,3685
,The Chamber,5355
,300,59952
,"The Reptile Room (A Series of Unfortunate Events, #2)",78418
,"A Clash of Kings  (A Song of Ice and Fire, #2)",10572
,The Dead Zone,11573
,The First Wives Club,202292
,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,67920
,The Postman,889284
,Under the Tuscan Sun,480479
,Out of Africa,781787
,Life of Pi,4214
,Absolute Power,15159
,The Lucky One,3063499
,One Day,6280118
,Waiting to Exhale (Waiting To Exhale #1),122212
,Schindler's List,375013
,"Baby-Sitters Club Boxed Set #1 (The Baby-Sitters Club, #1-4)",38418
,"Like a Fire Burning (The Work and the Glory, #2)",450836
,"Sookie Stackhouse 7-copy Boxed Set (Sookie Stackhouse, #1-7)",4902793
,Johnny Tremain,816870
,Gone Girl,19288043
,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",6892870
,Valley of the Dolls,581811
,Little Men,78950
,Ice Station Zebra,149621
,"The Killer Angels (The Civil War Trilogy, #2)",682804
,"Dances with Wolves (Dances with Wolves, #1)",543339
,We Need to Talk About Kevin,80660
,Possession,41219
,It's Kind of a Funny Story,248704
,Tess of the D'Urbervilles,32261
,"Hogfather (Discworld, #20; Death, #4)",34532
,A Tree Grows in Brooklyn,14891
,"The Girl Who Played with Fire (Millennium, #2)",5060378
,A Tale of Two Cities,1953
,"Gone, Baby, Gone (Kenzie & Gennaro, #4)",425123
,"Ender's Game (Ender's Saga, #1)",375802
,"Shiloh (Shiloh, #1)",207153
,The Remains of the Day,28921
,Sleepers,292740
,The Talented Mr. Ripley / Ripley Under Ground / Ripley's Game,156023
,Trainspotting,23955
,Madeline,475339
,The Swiss Family Robinson,62111
,"Darkly Dreaming Dexter (Dexter, #1)",17231
,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",233818
,The Haunting of Hill House,89717
,Tara Road,5196
,"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",7108001
,The Vampire's Assistant (Cirque du Freak #2),8965
,The Alchemist,865
,Jaws,126232
,Sarah's Key,556602
,Night Watch (Watch #1),359375
,Ethan Frome,5246
,Solaris,95558
,"Empire of the Sun (Empire of the Sun, #1)",56674
,East of Eden,4406
,No Country for Old Men,12497
,Requiem for a Dream,46945
,"The Human Stain (The American Trilogy, #3)",11734
,"The 39 Steps (Richard Hannay, #1)",153492
,The Prestige,239239
,The Last Temptation of Christ,8737
,"A Ring of Endless Light (Austin Family, #4)",14358
,"Persepolis: The Story of a Childhood (Persepolis, #1)",9516
,"The Wide Window (A Series of Unfortunate Events, #3)",438492
,"Revenge of the Sith (Star Wars: Novelizations, #3)",35458
,"The Punisher: Welcome Back, Frank",664149
,"Outlander (Outlander, #1)",10964
,Breakfast of Champions,4980
,"The Complete Sherlock Holmes, Vol 1",188572
,A Civil Action,27397
,From Hell,23529
,On the Road,70401
,"Tales from Earthsea (Earthsea Cycle, #5)",13659
,"Laskar Pelangi (Tetralogi Laskar Pelangi, #1)",1362193
,What Dreams May Come,33555
,Push,71332
,A Thousand Acres,41193
,The General's Daughter,98427
,The Day of the Triffids,530965
,The Martian,18007564
,The Woman in White,5890
,Revolutionary Road,48328
,Big Trouble,893731
,The BFG,6319
,I Am Legend,40940649
,Ordinary People,160251
,Ayat-Ayat Cinta,969177
,Vanity Fair,5797
,The Maltese Falcon,51068
,"Ready Player One (Ready Player One, #1)",9969571
,A Kiss Before Dying,12770
,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",389627
,The Perfect Storm: A True Story of Men Against the Sea,108229
,What's Eating Gilbert Grape,152662
,Curious George,420297
,Cloud Atlas,49628
,Mrs. Dalloway,14942
,"The Witching Hour (Lives of the Mayfair Witches, #1)",11901
,Wonder Boys,16707
,"The Clique (The Clique, #1)",890143
