The Bitch ,"1979), Jackie Collins",,,,,,,,,,,,,,,,,,,,,,,,,,
"[[Pascal Bruckner#Works - Lunes de fiel: roman, Seuil, 1981, .mw-parser-output cite.citation{font-style:inherit}.mw-parser-output q{quotes:""\""""""\""""""'""""'""}.mw-parser-output code.cs1-code{color:inherit;background:inherit;border:inherit;padding:inherit}.mw-parser-output .cs1-lock-free a{background:url","//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png)no-repeat;background-position:right .1em center}.mw-parser-output .cs1-lock-limited a,.mw-parser-output .cs1-lock-registration a{background:url",//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png)no-repeat;background-position:right .1em center}.mw-parser-output .cs1-lock-subscription a{background:url,"//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png)no-repeat;background-position:right .1em center}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration{color:#555}.mw-parser-output .cs1-subscription span,.mw-parser-output .cs1-registration span{border-bottom:1px dotted;cursor:help}.mw-parser-output .cs1-hidden-error{display:none;font-size:100%}.mw-parser-output .cs1-visible-error{font-size:100%}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration,.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left,.mw-parser-output .cs1-kern-wl-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right,.mw-parser-output .cs1-kern-wl-right{padding-right:0.2em}ISBN 978-2-02-005856-8|Bitter Moon]] ",Lunes de fiel) ,"1981), Pascal Bruckner",,,,,,,,,,,,,,,,,,,,,,
The Bitter Tea of General Yen ,"1932), Grace Zaring Stone",,,,,,,,,,,,,,,,,,,,,,,,,,
Black Alibi ,"1942), Cornell Woolrich",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Angel ,"1943), Cornell Woolrich",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Arrow: A Tale of the Two Roses ,"1888), Robert Louis Stevenson",,,,,,,,,,,,,,,,,,,,,,,,,,
Black Beauty ,"1877), Anna Sewell",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Camel ,"1929), Earl Derr Biggers",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Curtain ,"1941), Cornell Woolrich",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Dahlia ,"1987), James Ellroy",,,,,,,,,,,,,,,,,,,,,,,,,,
Black Narcissus ,"1939), Rumer Godden",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Path of Fear ,"1944), Cornell Woolrich",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Rose ,"1945), Thomas B. Costain",,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Stallion ,1941–1989) ,"series), Walter FarleyThe Black Stallion ",1941)* The Black Stallion Returns ,1945)** The Young Black Stallion ,1989),,,,,,,,,,,,,,,,,,,,,,
Black Sunday ,"1971), Thomas Harris",,,,,,,,,,,,,,,,,,,,,,,,,,
The Blackboard Jungle ,"1954), Evan Hunter",,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbeard's Ghost ,"1965), Ben Stahl",,,,,,,,,,,,,,,,,,,,,,,,,,
