Book,Film
"The Stalking Moon (1965), T. V. Olsen",The Stalking Moon (1968)
"The Stand (1978), Stephen King","The Stand (1994) (TV)The Stand (future, TBA)"
"Stand at Spanish Boot (1948), Harry Brown",Apache Drums (1951)
"Stara baśń. Powieść z dziejów Polski (An Ancient Tale: A Novel in Polish History) (1876), Józef Ignacy Kraszewski",Stara basn: kiedy slonce bylo bogiem (An Ancient Tale: When the Sun Was a God) (2003)
"Stardust (1999), Neil Gaiman",Stardust (2007)
"Starfire (1960), Robert Buckner",Moon Pilot (1962)
"Star in the West (1959), Richard Emery Roberts",The Second Time Around (1961)
"Stars In My Crown (1947), Joe David Brown",Stars In My Crown (1950)
"The Stars Look Down (1935), A. J. Cronin",The Stars Look Down (1939)
"Starship Troopers (1959), Robert A. Heinlein",Starship Troopers (1997)* Starship Troopers 2: Hero of the Federation (2004)** Starship Troopers 3: Marauder (2007)
"Station West (1948), Luke Short",Station West (1948)
"The Stepford Wives (1972), Ira Levin",The Stepford Wives (1975)* Revenge of the Stepford Wives (1980) (TV)** The Stepford Children (1987) (TV)** * The Stepford Husbands (1996) (TV)The Stepford Wives (2004)
"Stella Dallas (1923), Olive Higgins Prouty",Stella Dallas (1925)Stella Dallas (1937)Stella (1990)
"A Stir of Echoes (1958), Richard Matheson",Stir of Echoes (1999)* Stir of Echoes: The Homecoming (2007)
"Storm in the City (1950), Horace McCoy",The Turning Point (1952)
"Strange Case of Dr Jekyll and Mr Hyde (1886), Robert Louis Stevenson","Dr. Jekyll and Mr. Hyde (1908)Den Skæbnesvangre Opfindelse (Dr. Jekyll and Mr. Hyde) (1910)Dr. Jekyll and Mr. Hyde (1912)Dr. Jekyll and Mr. Hyde (1913)Dr. Jekyll and Mr. Hyde (1920)Dr. Jekyll and Mr. Hyde (1920)Der Januskopf (The Head of Janus) (1920)Dr. Jekyll and Mr. Hyde (1931)Dr. Jekyll and Mr. Hyde (1941)The Son of Dr. Jekyll (1951)* The Daughter of Dr. Jekyll (1957)The Testament of Dr. Cordelier (1959)The Two Faces of Dr. Jekyll (1960)The Nutty Professor (1963)* The Nutty Professor (2008)The Strange Case of Dr. Jekyll and Mr. Hyde (1968)Dr. Jekyll and Sister Hyde (1971)I, Monster (1971)Dr. Jekyll y el Hombre Lobo (1972)Dr. Jekyll and Mr. Hyde (1973) (TV)The Strange Case of Dr. Jekyll and Mr. Hyde (1981) (TV)Jekyll and Hyde... Together Again (1982)The Strange Case of Dr. Jekyll and Mr. Hyde (1985)Dr. Jekyll and Mr. Hyde (1986) (TV)Edge of Sanity (1989)Dr. Jekyll and Mr. Hyde (1989) (TV)Jekyll & Hyde (1990) (TV)Dr. Jekyll and Ms. Hyde (1995)Mary Reilly (1996) (TV)The Nutty Professor (1996)* Nutty Professor II: The Klumps (2000)Dr. Jekyll & Mr. Hyde (1999) (TV)Dr. Jekyll and Mr. Hyde (2002) (TV)Jekyll + Hyde (2006) (TV)Jekyll (2007) (TV)Dr. Jekyll & Mr. Hyde (2008) (TV)Jekyll (future, TBA)"
"A Stranger Came Home (1949), George Sanders",A Stranger Came Home (1954)
"A Stranger Is Watching (1977), Mary Higgins Clark",A Stranger Is Watching (1982)
"Strangers on a Train (1950), Patricia Highsmith",Strangers on a Train (1951)
"Stranger's Return (1933), Philip Stong",The Stranger's Return (1933)
"The Street Lawyer (1998), John Grisham",The Street Lawyer (2003) (TV)
"Strip Tease (1993), Carl Hiaasen",Striptease (1996)
"Stuart Little (1945), E. B. White",Stuart Little (1999)* Stuart Little 2 (2002)** Stuart Little 3: Call of the Wild (2006) (V)
"The Stud (1969), Jackie Collins",The Stud (1978)
"Stupeur et Tremblement (Fear and Trembling) (1999), Amélie Nothomb",Fear and Trembling (Stupeur et tremblements) (2003)
"Sultana - La Nuit du Serail (1982), Prince Michael of Greece and Denmark",The Favorite (a.k.a. Intimate Power) (1989)
"The Sum of All Fears (1991), Tom Clancy",The Sum of All Fears (2002)
"Summer Pass (1931), Zane Grey",Summer Pass (1933)
"The Sun Also Rises (1926), Ernest Hemingway",The Sun Also Rises (1957)The Sun Also Rises (1984) (TV)
"The Swarm (1974), Arthur Herzog",The Swarm (1978)
"Der Schweizerische Robinson (The Swiss Family Robinson) (1812), Johann David Wyss",Al-Ṭurfa al-Šahiyya fī aḫbār al-ʿAʾila al-Swīsiyya - Arabic translation (c. 1900)Swiss Family Robinson (1940 film)Mighty Mouse in: Swiss Cheese Family Robinson (1947)The Swiss Family Robinson (1958) (TV)Swiss Family Robinson (1960)The Swiss Family Robinson (1973) (TV)The Swiss Family Robinson (1973) (TV)The Swiss Family Robinson (1975) (TV)The Swiss Family Robinson (1976)Mountain Family Robinson (1979)The Adventures of Swiss Family Robinson (1998)Beverly Hills Family Robinson (1998) (TV)The New Swiss Family Robinson (1998) (TV)Stranded (2002) (TV)
"The Sword in the Stone (1938), T. H. White",The Sword in the Stone (1963)
"Taggart (1959), Louis L'Amour",Taggart (1964)
"Tai-Pan (1966), James Clavell",Tai-Pan (1986)
"Take Three Tenses: A Fugue in Time (1945), Rumer Godden",Enchantment (1948)
"The Taking of Pelham One Two Three (1973), Morton Freedgood (as John Godey)",The Taking of Pelham One Two Three (1974)The Taking of Pelham One Two Three (1998) (TV)The Taking of Pelham 123 (2009)
"A Tale of Two Cities (1859), Charles Dickens",A Tale of Two Cities (1911)A Tale of Two Cities (1917)A Tale of Two Cities (1922)The Only Way (1927)A Tale of Two Cities (1935)A Tale of Two Cities (1958)
"Tales of the South Pacific (1947), James A. Michener",South Pacific (1958)South Pacific (2001)
"The Talented Mr. Ripley (1955), Patricia Highsmith",Plein Soleil (1960)The Talented Mr. Ripley (1999)
"The Tall Men (1954), Henry Wilson Allen",The Tall Men (1954)
"Al-Tareeq al-Masdood (The Barred Road) (1954), Ihsan Abdel Quddous",Al-Tareeq al-Masdood (1958)
"Tarzan (1912–1965, 1995) (series), Edgar Rice BurroughsTarzan of the Apes (1912)* The Return of Tarzan (1913)** The Beasts of Tarzan (1914)*** The Son of Tarzan (1915)**** Tarzan and the Jewels of Opar (1916)***** Jungle Tales of Tarzan (1919)****** Tarzan the Untamed (1920)******* Tarzan the Terrible (1921)******** Tarzan and the Golden Lion (1922/23)********* Tarzan and the Ant Men (1924)********** Tarzan, Lord of the Jungle (1927/28)*********** Tarzan and the Lost Empire (1928/29)************ Tarzan at the Earth's Core (1929/30)************* Tarzan the Invincible (1930/31)************** Tarzan Triumphant (1931/32)*************** Tarzan and the City of Gold (1932)**************** Tarzan and the Lion Man (1933/34)***************** Tarzan and the Leopard Men (1932/33)****************** Tarzan's Quest (1935/36)******************* Tarzan and the Forbidden City (1938)******************** Tarzan the Magnificent (1939)********************* Tarzan and the Foreign Legion (1947)********************** Tarzan and the Madman (1964)*********************** Tarzan and the Castaways (1965)************************ Tarzan: The Lost Adventure (1995, with Joe R. Lansdale)","Tarzan of the Apes (1918)* The Romance of Tarzan (1918)** The Revenge of Tarzan (1920)** * The Son of Tarzan (1920)** ** The Adventures of Tarzan (1921)** ** * Tarzan and the Golden Lion (1927)** ** ** Tarzan the Mighty (1928)** ** ** * Tarzan the Tiger (1929)Tarzan the Ape Man (1932)Tarzan the Fearless (1933)* Tarzan and His Mate (1934)The New Adventures of Tarzan (1935)** Tarzan Escapes (1936)Tarzan and the Green Goddess (1938)Tarzan’s Revenge (1938)** * Tarzan Finds a Son! (1939)** ** Tarzan's Secret Treasure (1941)** ** * Tarzan's New York Adventure (1942)** ** ** Tarzan Triumphs (1943)** ** ** * Tarzan's Desert Mystery (1943)** ** ** ** Tarzan and the Amazons (1945)** ** ** ** * Tarzan and the Leopard Woman (1946)** ** ** ** ** Tarzan and the Huntress (1947)** ** ** ** ** * Tarzan and the Mermaids (1948)Tarzan's Magic Fountain (1949)* Tarzan and the Slave Girl (1950)** Tarzan's Peril (1951)** * Tarzan's Savage Fury (1952)** ** Tarzan and the She-Devil (1953)Tarzan's Hidden Jungle (1955)* Tarzan and the Lost Safari (1957)** Tarzan and the Trappers (1958)** * Tarzan's Fight for Life (1958)** ** Tarzan's Greatest Adventure (1959)Tarzan, the Ape Man (1959)** ** * Tarzan the Magnificent (1960)Tarzan Goes to India (1962)* Tarzan's Three Challenges (1963)Tarzan and the Valley of Gold (1966)* Tarzan and the Great River (1967)** Tarzan and the Jungle Boy (1968)Tarzan's Deadly Silence (1970)Tarzan and the Brown Prince (1972)Tarzan, the Ape Man (1981)Greystoke: The Legend of Tarzan, Lord of the Apes (1984)Tarzan and the Lost City (1998)Tarzan of the Apes (1999)Disney's Tarzan (1999–2005) (series)Tarzan (1999)* Tarzan & Jane (2002)** Tarzan II (2005)"
"Telefon (1975), Walter Wager",Telefon (1977)
"Ten Against Caesar (a. k. a. Trail's End at 'Dobe Town) (1952), Kathleen B. George and Robert A. Granger",Gun Fury (1953)
"Loving Care (1984), Andrew Neiderman",Tender Loving Care (1999) (V)
"The Terminal Man (1972), Michael Crichton",The Terminal Man (1974)
"Terms of Endearment (1975), Larry McMurtry",Terms of Endearment (1983)
"As Terras Do Risco (1994), Agustina Bessa-Luís",The Convent (1995)
"Tess of the d'Urbervilles (1891), Thomas Hardy",Tess of the d'Urbervilles (1913)Tess of the d'Urbervilles (1924)Tess (1979)
"The Tesseract (1998), Alex Garland",The Tesseract (2003)
"Tex (1979), S. E. Hinton",Tex (1982)
"Texas (1985), James A. Michener",James A. Michener's Texas (1994) (TV)
"Texasville (1987), Larry McMurtry",Texasville (1990)
"Theatre (1937), W. Somerset Maugham",Bezaubernde Julia (1960) (TV)Du bist zauberhaft (Adorable Julia) (1962)Theatre (1978)Poniro thilyko... katergara gynaika! (1980)Being Julia (2004)
"There's a Porpoise Close Behind Us, Arthur Barker (1936), Noel Langley",These Foolish Things (2005)
"These Foolish Things (2004), Deborah Moggach",The Best Exotic Marigold Hotel (2012)
"They Came to Cordura (1958), Glendon Swarthout",They Came to Cordura (1959)
"They Do It with Mirrors (1952), Agatha Christie",Murder Ahoy! (1964)Murder with Mirrors (1985) (TV)
"They Saved London (1955), Bernard Newman",Battle of the V-1 (1958)
"They Shoot Horses, Don't They? (1935), Horace McCoy","They Shoot Horses, Don't They? (1969)"
"Thin Air (1995), Robert B. Parker",Thin Air (2000) (TV)
"The Thirteenth Guest (1929), Armitage Trail",The Thirteenth Guest (1932)
"The Thirty-Nine Steps (1915), John Buchan",The 39 Steps (1935)The 39 Steps (1959)The Thirty Nine Steps (1978)The 39 Steps (2008)The Thirty-Nine Steps (2011)
"Thieves Like Us (1937), Frederick A. Stokes",They Live by Night (1950)Thieves Like Us (1974)
"Thomasina: The Cat Who Thought She Was God (1957), Paul Gallico",The Three Lives of Thomasina (1964)
"Thor (1993), Wayne Smith",Bad Moon (1996)
"Thunder Mountain (1935), Zane Grey",Thunder Mountain (1935)Thunder Mountain (1947)
"Thunderball (1961), Ian Fleming",Thunderball (1965)Never Say Never Again (1983)
"Thunderhead (1943), Mary O'Hara","Thunderhead, Son of Flicka (1945)"
"The Thundering Herd (1925), Zane Grey",The Thundering Herd (1925)The Thundering Herd (1933)
"Three Godfathers (1913), Peter B. Kyne",The Three Godfathers (1916)Marked Men (1919)Action (1921)Hell's Heroes (1930)Three Godfathers (1936)3 Godfathers (1948)The Godchild (1974) (TV)
"Three-Ten to Yuma (1953), Elmore Leonard",3:10 to Yuma (1957)3:10 to Yuma (2007)
"The Three Worlds of Johnny Handsome (1973), Morton Freedgood",Johnny Handsome (1989)
"A Thrill a Minute with Jack Albany (1967), Morton Freedgood (as John Godey)",Never a Dull Moment (1968)
"A Tiger Walks (1960), Ian Niall",A Tiger Walks (1964)
"Time After Time (1979), Karl Alexander",Time After Time (1979)
"The Time Machine (1895), H. G. Wells",The Time Machine (1960)The Time Machine (1978) (TV)Time After Time (1979)The Time Machine (2002)
"A Time to Kill (1989), John Grisham",A Time to Kill (1996)
"The Time Traveler's Wife (2003), Audrey Niffenegger",The Time Traveler's Wife (2009)
"Timeline (1999), Michael Crichton",Timeline (2003)
"Tinker, Tailor, Soldier, Spy (1974), John le Carré","Tinker, Tailor, Soldier, Spy (2011)"
"To Catch a Thief (1952), David F. Dodge",To Catch a Thief (1955)
"To Have and Have Not (1937), Ernest Hemingway",To Have and Have Not (1944)The Breaking Point (1950)The Gun Runners (1958)
"To Kill a Mockingbird (1960), Harper Lee",To Kill a Mockingbird (1962)
"To Sir, With Love (1959), E.R. Braithwaite","To Sir, with Love (1967)* To Sir, with Love II (1996) (TV)"
"The Molly Fountain mini series - To the Devil (1953), Dennis Wheatley",To the Devil a Daughter (1976)
"To the Last Man (1921), Zane Grey",To the Last Man (1933)
"Der Tod in Venedig (Death in Venice) (1912), Thomas Mann",Death in Venice (1971)
"Toby Tyler; or, Ten Weeks with a Circus (1877) (serial), (1881) (novel), James Otis Kaler (as James Otis)",Toby Tyler (1960)
"Toilers of the Sea (French: ""Les Travailleurs de la Mer"") (1866), Victor Hugo",Toilers of the Sea (1914)Toilers of the Sea (1915)Toilers of the Sea (1923)Toilers of the Sea (1936)Sea Devils (1953)
"Topaz (1967), Leon Uris",Topaz (1969)
"Touch (1987), Elmore Leonard",Touch (1997)
"Le tour du monde en quatre-vingts jours (Around the World in Eighty Days) (1873), Jules Verne",'Round the World in 80 Days (1914)Around the World in Eighty Days (1919)Around the World in 80 Days (1956)The Three Stooges Go Around the World in a Daze (1963)Around the World in Eighty Days (1972) (made in Australia)Around the World in Eighty Days (1972) (made in Canada)Around the World with Willy Fog (1981–1983)Ginga Shippu Sasuraiger (1983)Around the World in Eighty Days (1987)Around the World in 80 Days (1988) (V)Around the World in 80 Days (1989) (TV) (mini)Around the World in 80 Days (1999) (V)Tweety's High-Flying Adventure (2000)Around the World in 80 Days (2004)
"Tous les hommes sont mortels (All Men Are Mortal) (1946), Simone de Beauvoir",All Men Are Mortal (1995)
"The Tower (1973), Richard Martin Stern",The Towering Inferno (1974)
"A Town Like Alice (1950), Nevil Shute",A Town Like Alice (1956)
"The Track of the Cat (1949), Walter Van Tilburg Clark",Track of the Cat (1952)
"Trainspotting (1993), Irvine Welsh",Trainspotting (1996)
"Treasure Island (1883), Robert Louis Stevenson",Treasure Island (1918)Treasure Island (1920)Treasure Island (1934)Treasure Island (1937)Treasure Island (1950)* Long John Silver (1954)Return to Treasure Island (1954)Treasure Island (1971)Animal Treasure Island (1971)Treasure Island (1972 animated)Treasure Island (1972 live-action)Treasure Island (1977) (TV)Treasure Island (1982) (TV)L'Île au trésor (1985)Return to Treasure Island (1986) (TV) (mini)L'isola del tesoro (1987)Treasure Island (1988)Return to Treasure Island (1988) (TV)Treasure Island (1990) (TV)Return to Treasure Island (1992)Muppet Treasure Island (1996)Return to Treasure Island (1996) (TV)Return to Treasure Island (1998) (TV)Treasure Island (1999)Treasure Planet (2002)Pirates of Treasure Island (2006)Die Schatzinsel (2007)
"The Treasure of the Sierra Madre (1927), B. Traven",The Treasure of the Sierra Madre (1948)
"The Trial (1925), Franz Kafka",The Trial (1962)After Hours (1985)The Trial (1993)
"Trinity's Child (1983), William Prochnau",By Dawn's Early Light (1990) (TV)
"Les Trois Mousquetaires (The Three Musketeers) (1844), Alexandre Dumas, père","The Three Musketeers  (1903)The Three Musketeers: Part 1/The Three Musketeers: Part 2 (1911)The Three Musketeers (1914)The Three Musketeers (1916)Les Trois Mousquetaires (1921)The Three Musketeers (1921)The Three Musketeers (1933) (serial)Les Trois Mousquetaires (1933)The Three Musketeers (1935)The Three Musketeers (1939)The Three Musketeers (1948)At Sword's Point (1952)The Three Musketeers (1953)Los tres mosqueteros y medio (1957)Les trois mousquetaires: Premiere époque-Les ferrets de la reine (1961) (a.k.a. (a.k.a. “The Fighting Musketeeers”)* Les trois mousquetaires: La vengeance de Milady (1961) (a.k.a. “The Vengeance of the Musketeers”)The Three Musketeers (1969) (TV)The Three Musketeers in Boots (1972)The Three Musketeers (1973)* The Four Musketeers (1974)** The Return of the Musketeers (1989)The Three Musketeers (1973) (TV)Les Quatre Charlots Mousquetaires (1974)* A Nous Quatre Cardinal (1974)d'Artagnan l'intrépide (1975)d'Artagnan and Three Musketeers (1978)* The Secret of Queen Anna, or Musketeers Thirty Years After (1993)** The Return of the Musketeers, or The Treasures of Cardinal Mazarin (2009)The Three Musketeers (1992)Ring of the Musketeers (1992)The Three Musketeers (1993)La Fille de d'Artagnan (The Daughter of d'Artagnan) (1994)The Musketeer (2001)d'Artagnan et les trois mousquetaires (2005)Mickey, Donald, Goofy: The Three Musketeers (2004)La Femme Musketeer (2004)Barbie and the Three Musketeers (2009)The Three Musketeers (2011)"
"The Trouble with Harry (1950), Jack Trevor Story",The Trouble with Harry (1955)
"True Grit (1968), Charles Portis",True Grit (1969)* Rooster Cogburn (1975)** True Grit: A Further Adventure (1978) (TV)True Grit (2010)
"The Turn of the Screw (1898), Henry James",The Innocents (1961)
"The Turning Point (1977), Hermann Kant",The Turning Point (German: Der Aufenthalt) (1983)
